"","Astrocytes.Fetal","Astrocytes.Mature","Endothelials","Oligodendrocyte","Neurons"
"CD24",1,0.00892857142857143,0.00255102040816327,0,0.334183673469388
"CD44",1,0.473404255319149,0.585106382978723,0,0.127659574468085
"CXCR4",1,0.641086001255493,0.0423728813559322,0.642184557438795,0
"FUT4",0.361904761904762,0.619047619047619,0,0.619047619047619,1
"ITGA6",0.392444910807975,0.95365512416929,1,0,0.123819517313746
"ITGB1",0.539080459770115,0.260536398467433,0.885057471264368,1,0
"NCAM1",0.77156862745098,0.845424836601307,0,0.662745098039216,1
"PDGFRA",0.427240339819129,0.0632593404585731,0,1,0.0452178679090162
"PROM1",0.749748743718593,0,1,0.267336683417085,0.050251256281407
"ST3GAL2",1,0.577956989247312,0.645161290322581,0.225806451612903,0
"TH",NA,NA,NA,NA,NA
