"","astrocytes","Endothelial","Epithelial","neurons","NPC","OPC","oligodendrocyte","RG","stemlike"
"AQP4",1,0.125110996984018,0.0343069713208396,0,0.201403913284469,0.486276717527805,0.024432682728167,0.547015025056066,0.502245212776448
"CD133",0.385902129649161,0.540053107447846,0.52675162908396,0,0.263774852420876,1,0.444916294476225,0.767681142912945,0.583718156473053
"CD140a",0.462660726569679,0.158266427789362,0,0.422209261196515,0.18817750175824,1,0.938994670150846,0.600303845316111,0.0340117606928985
"CD15",0.232343344321394,1,1,0.565115567224772,0.5,0.752491819028934,0.681625843630985,0.471639385243176,0
"CD184",0.697667081992432,0.727390847337794,0.383654266740852,0,0.398768494266982,0.472029827660113,0.570976735195812,1,0.391986972279321
"CD24",0,0.0162200638555533,0.335309107814557,0.945338612186682,0.972160181244716,0.538968919174277,1,0.266856933151071,0.842359862133854
"CD29",0.347964084410114,1,0.618356786748657,0.000112604356105051,0,0.409966569075119,0.342346114087538,0.550230432557953,0.596420506920081
"CD44",0.72724259055036,0.0934664586839674,0.983581704556031,0,0.544095555328917,0.617259892256062,0.292254472466631,1,0.478632323730812
"CD56",0.30893522414911,0,0,1,0.366274032483765,0.930949473884905,0.523038530300308,0.229554804852763,0.392156274390095
"CD71",0.553033131800534,1,1,0.118800408531401,0.03083557102514,0.434302416016361,0,0.104248211081714,0.539397644301975
"GLAST",0.648036015930288,0.343414164986627,0.194497985964321,0,0.269320712295722,0.934219866770583,0.565255784354768,1,0.128430402696635
"HepaCAM",1,0,0.066354551924063,0.146589039096686,0.0360932816450786,0.333111319472055,0.677989935196588,0.529900194895411,0.207526259753491
"O4",0.816112511528326,0,0.368741337904479,0.000323140495618661,0.20874781968343,1,0.94530795414145,0.114554915157876,0.429265962413566
