"","Astrocyte","Endothelial","OPC","Oligo","neuron","RadialGlia","Stem"
"AQP4",1,0.0280807929626393,0.00764712172756911,0.116871289929699,0.113480893482754,0.657847509475526,0
"CD24",0,0.0943668853828876,0.000604425190794871,NA,1,0.16850530950381,0.689445040755182
"CD44",0.64109904047727,0.0837122204814067,0.146588407523628,0.109666272785584,0.0426663963385078,1,0
"CXCR4",0.907296991556461,0.579534435756828,0,0.766826692881572,0.127099518742492,1,0.109113287558049
"FUT4",0.140317939287435,1,0.223167065586176,0.426105240148314,0.418564491334499,0.628130260717652,0
"HEPACAM",1,0.0247890908961575,0.736259493040125,0.417159898566043,0,0.217823837948662,0.0362996710420376
"ITGB1",0.13769810704503,1,0.0408580985744149,0.42374473865783,0,0.351838421119852,0.217075988025561
"NCAM1",0.678047554613866,0,1,0.69170946011338,0.769709904534506,0.272291352051111,0.415815554444597
"NKX2-2",0.396554770736963,0.0185436224837618,1,0.981304135357845,0,0.075786793305031,0.00277822906488562
"PDGFRA",0.144408375707366,0.140218639874159,1,0.669728175360591,0,0.0626897297482766,0.0917448543770069
"PROM1",0.0595000614810716,0.441032167668484,1,0.290029222752251,0,0.471932977015279,0.515438156852111
"SLC1A3",1,0.306250091748957,0.625277044230789,0.272807287781832,0,0.896653039175243,0.136591908818994
"TFRC",0.371459201379851,1,0.0319415613761261,0,0.0824646384081988,0.149968951670266,0.0659964247080825
