"","Astro","Neuron","Radial_Glia","NPC","IPC","Epithelial"
"AQP4",1,0.00509615461913442,0.445966376335385,0,NA,0.0461200290356761
"CD24",0,0.935904639812017,0.331478210385935,1,0.669620962366059,0.326255908327181
"CD44",0.870860389169187,0,1,0.523092828308799,NA,0.983670500268349
"CXCR4",0.915511089927417,0.225191309997536,1,0.384002616296464,0,0.420642669523238
"FUT4",0.118676126528613,0.119239378960867,0.167930394279134,0,NA,1
"HEPACAM",1,0,0.73039113198252,0.0124930016217965,NA,0.112332101394203
"ITGB1",1,0,0.905201426052709,0.318715066419261,0.685602081018754,0.679174507778588
"NCAM1",0.161733073185512,1,0.0360589743405163,0.717665862856712,0.55091044307406,0
"NKX2-2",1,0,0.123486722495499,0.223368694812319,NA,0.369229808606945
"PDGFRA",0.0806194575572547,0.833117660843089,1,0,NA,0
"PROM1",0.425717854187815,0.124193902635758,1,0.153478164260342,0,0.556138910133999
"SLC1A3",1,0.014450517922778,0.895653146604161,0,0.464840970652787,0.201449128166813
"TFRC",0.0520731024239307,0,0.0764607138711973,0.0603204283353881,NA,1
