"","Endothelial","Epithelial","Neurons","Astrocytes","StemCell","RG","OPC","NPC","Oligo"
"AQP4",0.0280807929626393,0.0461200290356761,0.0592885240509442,1,0,0.551906942905455,0.00764712172756911,0,0.116871289929699
"CD24",0.0943668853828876,0.326255908327181,0.967952319906008,0,0.67953300156062,0.249991759944872,0.000604425190794871,1,NA
"CD44",0.0837122204814067,0.983670500268349,0.0213331981692539,0.755979714823228,0,1,0.146588407523628,0.523092828308799,0.109666272785584
"CXCR4",0.579534435756828,0.420642669523238,0.176145414370014,0.911404040741939,0.0545566437790245,1,0,0.384002616296464,0.766826692881572
"FUT4",1,1,0.268901935147683,0.129497032908024,0,0.398030327498393,0.223167065586176,0,0.426105240148314
"HEPACAM",0.0247890908961575,0.112332101394203,0,1,0.0362996710420376,0.474107484965591,0.736259493040125,0.0124930016217965,0.417159898566043
"ITGB1",1,0.679174507778588,0,0.568849053522515,0.451339034522158,0.628519923586281,0.0408580985744149,0.318715066419261,0.42374473865783
"NCAM1",0,0,0.884854952267253,0.419890313899689,0.483362998759329,0.154175163195814,1,0.717665862856712,0.69170946011338
"NKX2-2",0.0185436224837618,0.369229808606945,0,0.698277385368481,0.00277822906488562,0.099636757900265,1,0.223368694812319,0.981304135357845
"PDGFRA",0.140218639874159,0,0.416558830421545,0.11251391663231,0.0917448543770069,0.531344864874138,1,0,0.669728175360591
"PROM1",0.404023866734477,0.52675162908396,0,0.192463396691383,0.208573932436889,0.718485282819623,1,0.0974314062320896,0.243023275971485
"SLC1A3",0.306250091748957,0.201449128166813,0.007225258961389,1,0.300716439735891,0.896153092889702,0.625277044230789,0,0.272807287781832
"TFRC",1,1,0.0412323192040994,0.211766151901891,0.0659964247080825,0.113214832770732,0.0319415613761261,0.0603204283353881,0
