"","Astrocytes","RG","Epithelial","NPC","Neuron"
"CD24",0,0.231712526392441,0.326255908327181,1,0.871809279624034
"NCAM1",0.193832774770572,0.0721179486810325,0,0.717665862856712,1
"ITGB1",0.704476449336031,1,0.578818476748997,0.2716211623801,0
"FUT4",0.118676126528613,0.167930394279134,1,0,0.119239378960867
"CXCR4",0.825957373537105,1,0.419479126190149,0.382940423332096,0
"PROM1",0.0922306949425102,1,0.556138910133999,0.153478164260342,0
"TFRC",0.0520731024239307,0.0764607138711973,1,0.0603204283353881,0
"CD44",0.870860389169187,1,0.983670500268349,0.523092828308799,0
"SLC1A3",1,0.600254664602504,0.179963587607159,0,0.0258185981923063
"AQP4",1,0.445966376335385,0.0461200290356761,0,0.00509615461913442
"HEPACAM",1,0.73039113198252,0.112332101394203,0.0124930016217965,0
"PDGFRA",0.0806194575572547,1,0,0,0.833117660843089
"NKX2-2",1,0.123486722495499,0.369229808606945,0.223368694812319,0
