"","Neurons","Astrocytes","RG","Epithelial","DA-Neurons","DA-NPC"
"CD24",0.637193080150066,0,0.217569457942333,0.306342182834807,1,0.938962866314122
"NCAM1",1,0.193688167385577,0.0720641456645804,0,0.998507916061504,0.717130454003124
"ITGB1",0,0.748068053849698,1,0.640945431940118,0.295012728533659,0.379061676526311
"FUT4",0.105719085420007,0.118676126528613,0.167930394279134,1,0.132759672501727,0
"CXCR4",0,0.829120236427154,1,0.430028886131077,0.0363458418702221,0.394154198231135
"PROM1",0.0284506184417017,0.10514399400815,1,0.562452971388447,0,0.165520199135941
"CD44",0,0.871651769285936,1,0.983770569033626,0.0122561948523466,0.526015361920163
"PDGFRA",0.271417252872307,0.0615165024540306,0.763047833835182,0,1,0
"TH",0.0713208834759009,0.00813788372966288,0.0149428107477416,0,0.221801628640529,1
"ST3GAL2",1,0.571169296278935,0.517706674867186,0,0.977299965454129,0.554330936288708
"ITGA6",0,1,0.508081678695075,0.395624754299253,0.201531684688697,0.040443346109003
